id	title	customer_age	annual_income	family_structure	insurance_needs	case_description
1	30岁新婚夫妇保险规划	30	600000.00	新婚夫妇，计划1年内生育第一胎	重点关注家庭保障和未来子女教育基金，需要平衡定期寿险、重疾保险和储蓄保险	该夫妇处于家庭建立初期，收入稳定但需要为未来做好规划。推荐方案以储蓄和保障为主，总保费约占年收入的12%，符合合理范围。储蓄计划用于子女未来教育，重疾保险保障夫妇双方健康，定期寿险以低成本提供高额保障。建议每2-3年根据家庭变化调整保险配置。
2	28岁年轻父母保障方案	28	500000.00	已婚，1个子女（6个月）	新手父母，需要为孩子提供全面保障，同时确保家庭经济支柱的保障充足	年轻父母最关心的是孩子的健康和未来教育。推荐方案包含儿童医疗、父母重疾和教育储蓄三大保障。总保费6.5万，占年收入13%。重点是尽早为孩子建立医疗保障，同时父母作为家庭经济支柱也需要充足的重疾保障。
3	32岁二胎家庭保险配置	32	800000.00	已婚，2个子女（3岁、5岁）	二胎家庭，家庭开支增加，需要更全面的保障和充足的教育金规划	二胎家庭面临更大的经济压力和责任。推荐方案包含全家医疗、父母双倍重疾保障和双子女教育金。总保费15万，占年收入18.75%。虽然保费较高，但考虑到两个孩子的未来教育和家庭风险保障，这是合理且必要的配置。
4	35岁单身专业人士保险规划	35	800000.00	单身，独居	重点关注重疾保障和储蓄规划，为未来退休和可能的家庭建立做准备	该客户处于职业上升期，收入稳定且有较强的储蓄能力。推荐配置储蓄和重疾保障的平衡组合，总保费约占年收入的10%，符合合理范围。储蓄计划用于未来财富积累，重疾保险提供全面健康保障。
5	33岁事业上升期保障方案	33	900000.00	已婚无子女，双职工	事业上升期，收入增长快，需要加强保障并开始长期储蓄规划	双职工家庭，事业上升期，收入增长迅速。推荐配置高端医疗、多次赔付重疾和万用寿险。总保费12万，占年收入13.3%。这个阶段收入高，应该提升保障品质，为未来家庭变化预留灵活空间。
6	37岁高收入人群保险配置	37	1500000.00	已婚，1个子女（2岁）	高收入家庭，需要高保额保障和财富传承规划	高收入家庭，年收入150万。推荐大额重疾、终身寿险和子女教育基金。总保费18万，占年收入12%。高收入需要高保额，保障要匹配生活水平。同时开始考虑财富传承和子女的高端教育规划。
7	40岁中年家庭全面保障规划	40	1200000.00	已婚，2个子女（10岁、13岁），有房贷	需要完善的家庭保障，包括重疾、医疗、寿险，同时继续为子女教育和退休储蓄	该家庭处于责任高峰期，是家庭财务压力最大的阶段。需要完善的风险保障和持续的财富积累。推荐方案包含储蓄、重疾、医疗、寿险四大保障，总保费22万，占年收入18%。万用寿险提供灵活的保障和储蓄功能，多次赔付重疾保险确保长期保障，高端医疗保险提供全球优质医疗资源，子女教育基金专款专用。建议每年评估调整，确保保障充足。
8	45岁家庭责任期保障升级	45	1500000.00	已婚，2个子女（15岁、17岁），有房贷和车贷	子女即将进入大学，需要充足的教育资金和家庭保障，同时开始退休规划	45岁是家庭责任最重的时期。两个孩子即将进入大学，教育支出大幅增加。推荐方案包含大额寿险、重疾保险、教育基金和退休年金。总保费30万，占年收入20%。这个阶段保费较高但必要，需要在保障家庭责任的同时开始为退休做准备。
9	42岁单亲家庭保障方案	42	800000.00	单亲，2个子女（8岁、12岁）	单亲家庭，经济支柱唯一，需要加倍重视保障，确保万一情况下子女生活无忧	单亲家庭面临更大的风险和责任。作为唯一经济支柱，必须有充足的保障。推荐方案包含高额寿险、重疾保险、教育信托和医疗保险。总保费18万，占年收入22.5%。虽然保费占比高，但这是单亲家庭的必要配置，尤其是寿险和教育信托，确保万一情况下子女生活和教育无忧。
10	50岁中年转型期保障规划	50	1000000.00	已婚，2个子女已成年独立	子女独立，家庭责任减轻，重点转向退休规划和医疗保障	50岁是人生的转折点，子女独立后家庭责任减轻，应该调整保险配置重点。推荐方案从家庭保障转向个人退休和健康保障。年金计划提供退休收入，医疗保险应对健康风险，长期护理保险提前规划未来可能的护理需求。总保费15万，占年收入15%。
11	55岁退休准备期保障方案	55	800000.00	已婚，子女已成家立业	即将退休，需要加强医疗和护理保障，优化退休收入规划	55岁已接近退休，保险配置应该简化，重点关注医疗和护理。建议保留终身医疗保险和长期护理保险。总保费8.5万，占年收入10.6%。这个阶段不建议投入过多新的保费，应该盘活现有保单，必要时可以考虑退保部分储蓄型保险以增加流动资金。
12	58岁财富传承规划方案	58	1500000.00	已婚，2个子女已成家，有孙辈	财富积累丰厚，需要考虑财富传承和税务规划	高净值家庭，年收入150万，财富积累丰厚。推荐配置大额终身寿险进行财富传承规划，同时保留高端医疗和长期护理保险。总保费29万，占年收入19.3%。大额寿险不仅提供保障，更是税务规划和财富传承的重要工具。
13	60岁退休人士保险调整方案	60	400000.00	已退休夫妇，子女已独立	调整保险结构，减少寿险保额，加强医疗和护理保障，优化资产配置	该退休夫妇已度过家庭责任期，子女独立，保险需求转向医疗和护理保障。建议保留现有储蓄型保单，减少寿险保额，加强医疗和护理保障。即期年金提供稳定现金流，补充退休收入。总年缴保费8万（不含即期年金的一次性投入），符合退休预算。重点关注健康管理和生活品质，确保安享晚年。
14	65岁乐享退休生活方案	65	300000.00	已退休，与配偶同住	简化保险配置，保留必要的医疗和护理保障	65岁已正式退休，保险配置应该极简化，只保留必要的医疗和护理保险。总保费6.5万，占被动收入21.7%。这个阶段最重要的是享受退休生活，保持健康，定期体检。保险主要起到补充医疗保障的作用。
15	70岁银发族健康保障方案	70	250000.00	退休多年，偶尔与子女同住	年龄较大，重点关注医疗保障和可能的护理需求	70岁银发族，健康是最大的财富。保险配置极简，只保留老年医疗和居家护理服务。总保费5.5万，占被动收入22%。这个年龄段购买新保险比较困难且保费高昂，建议盘活现有保单，必要时考虑政府医疗资源。重点是保持健康生活方式，定期体检，及早发现和治疗疾病。
